==9384== Lackey, an example Valgrind tool
==9384== Copyright (C) 2002-2017, and GNU GPL'd, by Nicholas Nethercote.
==9384== Using Valgrind-3.13.0 and LibVEX; rerun with -h for copyright info
==9384== Command: ls
I  040022e7,2
I  040022c8,4
I  040022cc,3
I  040022cf,6
I  040022d5,5
I  040020b5,7
I  040020bc,7
 M 0422ad04,1
I  040020c3,5
 S 1ffeff2548,8
I  0400c100,7
 L 0422ac88,8
I  0400c107,3
I  0400c10a,2
I  0400c10c,4
 L 04229e90,8
I  0400c110,2
 L 040002c8,4
I  0400c112,6
 S 0422acdc,4
I  0400c118,3
 L 040002d0,4
I  0400c11b,3
 L 040002cc,4
I  0400c11e,4
I  0400c122,3
I  0400c125,2
I  0400c127,7
 S 0422ace0,4
I  0400c12e,4
I  0400c132,2
I  0400c134,3
 L 040002d4,4
I  0400c137,3
I  0400c13a,4
I  0400c13e,7
 S 0422ace8,8
I  0400c145,7
 S 0422acf0,8
I  0400c14c,4
I  0400c150,6
 S 0422ace4,4
I  0400c156,7
 S 0422acf8,8
I  0400c15d,1
 L 1ffeff2548,8
I  040020c8,7
I  040020cf,7
 S 0422aa18,8
I  040020d6,7
I  040020dd,7
 S 0422ad30,8
I  040020e4,7
I  040020eb,7
 S 0422ad38,8
I  040020f2,7
I  040020f9,7
 S 0422ad40,8
I  04002100,2
I  04002102,7
I  04002109,4
I  0400210d,2
I  0400210f,3
I  04002112,3
I  04002115,7
 S 04229e58,8
I  0400211c,7
 S 0422a9c8,8
I  04002123,5
 S 1ffeff2548,8
I  0401aa60,2
 S 1ffeff2540,8
I  0401aa62,2
 S 1ffeff2538,8
I  0401aa64,2
 S 1ffeff2530,8
I  0401aa66,2
 S 1ffeff2528,8
I  0401aa68,3
I  0401aa6b,1
 S 1ffeff2520,8
I  0401aa6c,1
 S 1ffeff2518,8
I  0401aa6d,4
I  0401aa71,3
 L 1ffeff25d0,8
I  0401aa74,7
 S 04229e58,8
I  0401aa7b,4
I  0401aa7f,7
 S 04229740,8
I  0401aa86,6
 S 04229748,4
I  0401aa8c,2
I  0401aa8e,5
I  0401aa93,7
 S 0422b118,8
I  0401aa9a,4
 L 1ffeff25e8,8
I  0401aa9e,3
I  0401aaa1,2
I  0401aaa3,4
I  0401aaa7,4
 L 1ffeff25f0,8
I  0401aaab,2
I  0401aaa3,4
I  0401aaa7,4
 L 1ffeff25f8,8
I  0401aaab,2
I  0401aaa3,4
I  0401aaa7,4
 L 1ffeff2600,8
I  0401aaab,2
I  0401aaa3,4
I  0401aaa7,4
 L 1ffeff2608,8
I  0401aaab,2
I  0401aaa3,4
I  0401aaa7,4
 L 1ffeff2610,8
I  0401aaab,2
I  0401aaa3,4
I  0401aaa7,4
 L 1ffeff2618,8
I  0401aaab,2
I  0401aaa3,4
I  0401aaa7,4
 L 1ffeff2620,8
I  0401aaab,2
I  0401aaa3,4
I  0401aaa7,4
 L 1ffeff2628,8
I  0401aaab,2
I  0401aaa3,4
I  0401aaa7,4
 L 1ffeff2630,8
I  0401aaab,2
I  0401aaa3,4
I  0401aaa7,4
 L 1ffeff2638,8
I  0401aaab,2
I  0401aaa3,4
I  0401aaa7,4
 L 1ffeff2640,8
I  0401aaab,2
I  0401aaa3,4
I  0401aaa7,4
 L 1ffeff2648,8
I  0401aaab,2
I  0401aaa3,4
I  0401aaa7,4
 L 1ffeff2650,8
I  0401aaab,2
